State,Number to Generate,Type,Value
WA,40,Street Address,641 10TH AVE KIRKLAND 98033
WA,40,Street Address,13315 SE SILVER CIR VANCOUVER 98683
WA,40,Street Address,14049 NE BELLEVUE-REDMOND RD  
WA,40,Street Address,133 BRYANT LN WOODLAND 98674
WA,40,Street Address,4725 NW Cascade Ave East Wenatchee 
WA,40,Street Address,6722 S Echo Ridge St Spokane 99224
WA,40,Street Address,19110 NE 232ND AVE BRUSH PRAIRIE 98606
WA,40,Street Address,10114 WATERS AVE S SEATTLE 98178
WA,40,Street Address, COOPER RANCH RD BEAVER 98363
WA,40,Street Address,2118 WASHINGTON ST Ferndale 98248
WA,40,Street Address,27031 125TH AVE SE KENT 98030
WA,40,Street Address,2416 SE HIGGINS DR VANCOUVER 98683
WA,40,Street Address,6016 N HIGHLANDS PKWY  
WA,40,Street Address,400 W 8TH ST VANCOUVER 98660
WA,40,Street Address,601 S JACKSON AVE  
WA,40,Street Address,370 E MARTIN LN    
WA,40,Street Address,417 NIEMI RD WOODLAND 98674
WA,40,Street Address,3110 S 10TH ST  
WA,40,Street Address,6501 NW 179TH ST RIDGEFIELD 98642
WA,40,Street Address,0 VINTAGE RD    
WA,40,Street Address,1410 S 56TH ST  
WA,40,Street Address,410 E WRIGHT AVE  
WA,40,Street Address,5627 44TH AVE SW SEATTLE 98136
WA,40,Street Address,491 HIGH ASPEN DR GLENWOOD SPRINGS 81601
WA,40,Street Address,5577 LAKEMONT BLVD SE  
WA,40,Street Address,1223 E Heroy Ave Spokane 99207
WA,40,Street Address,1706 Country Club Dr East Wenatchee 98802
WA,40,Street Address,2298 VAN DAM RD  
WA,40,Street Address,1141 HIGHLAND RD GRANDVIEW 98930
WA,40,Street Address,306 W ILLINOIS ST Bellingham 98225
WA,40,Street Address,3423 PINEHURST CT Bellingham 98226
WA,40,Street Address,1107 NE 147TH AVE VANCOUVER 98684
WA,40,Street Address,3813 GRANT ST VANCOUVER 98660
WA,40,Street Address,770 LATERAL B RD WAPATO 98951
WA,40,Street Address,1208 E 56TH ST  
WA,40,Street Address,17211 NE 6TH ST VANCOUVER 98684
WA,40,Street Address, W HWY 112 PORT ANGELES 98363
WA,40,Street Address,41102 NW 39TH AVE WOODLAND 98674
WA,40,Street Address,176 HORIZON VIEW DR SEQUIM 98382
WA,40,Street Address,1071 VISTA DEL MONTE ST  
input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,output_item_num_reviews
toys,Baby & Toddler Toys,40,Guidecraft Primary Puzzles (Train),5.0 out of 5 stars,2
toys,Baby & Toddler Toys,40,Rocky Plush Animal Rocker With Seat,5.0 out of 5 stars,10
toys,Baby & Toddler Toys,40,A.B.Gee Wooden Blocks Truck,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Discount Open Sound Boxes,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,"Jakobs 4019999 - Schaukelwanne für Rody, circa 67 cm",5.0 out of 5 stars,4
toys,Baby & Toddler Toys,40,Melissa & Doug Castle Blocks Play Set,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Handmade Rocking Horse MARS II Cheval à bascule MJmark,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Rainbow Humming Top,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,LUXURIOUS Handmade Rocking Horse,5.0 out of 5 stars,2
toys,Baby & Toddler Toys,40,Legler Wobble Pyramid Preschool Learning Toy,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Fajiabao Interesting Multivariant Magic Ball Crawling Ball Creative Assembly Puzzle Ball Toy Best Birthday Xmas Gift for Kids Boys Girls Early Educational Learning,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Green Toys SPSA-1036 My First Shape Sorter,5.0 out of 5 stars,2
toys,Baby & Toddler Toys,40,Melissa & Doug Switch and Spin Magnetic Gear Board,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Pack of 2 Giant Plastic Hand Clapper Green,5.0 out of 5 stars,2
toys,Baby & Toddler Toys,40,Melissa & Doug Stacking Construction Vehicles,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,DIY Colouring Yourself Unpainted Traditional Russian Wooden Nesting Doll Matryoshka Babushka Stacking Dolls Set of 5 Pieces,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Little Tikes Al the Musicalligator,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,"MWZ Tower of Hanoi Rainbow Stacking Rings Stcacker Board Wisdom Development Wooden Building Set Puzzle Game for Baby Kids, 3-Year-Old",5.0 out of 5 stars,3
toys,Baby & Toddler Toys,40,Metal Fusion Keychain - Beyblade (Dark Wolf),5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Plan Toys 34032 Palomino,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Moandy Beyblade Single Metal Fusion Top Metal Master Fight BB108 l-Drago Destroy F:S & Fight Power Launcher,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,"Traditional, Well Made - Top Selling Christmas Stocking Filler Xmas Gift Present Fun Toys & Games Idea Age 3+ - Girl Girls Boy Boys Kids Children Child - Trousselier Frog Musical Wooden Box - One Supplied",5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Funtrix - Spinning Top,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Green Toys STCA-8586 My First Stacking Cups,5.0 out of 5 stars,4
toys,Baby & Toddler Toys,40,PINTOY - Smile Rattle,5.0 out of 5 stars,4
toys,Baby & Toddler Toys,40,Humming Top circus musicians 21 cm,5.0 out of 5 stars,4
toys,Baby & Toddler Toys,40,"V5-Space®12Pcs Sport Stacking Cup Flyingcup Athletics Toys Sports Educational Gift Scrawl Design,Red",5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,AmDxD Beyblades High Performance Master Set BB30 BB43 BB70 BB99 Power Launcher Grip Rapidity Top Toy,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Guess How Much I Love You - Bean Bag,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Handmade Rocking Horse MARS III Cheval à bascule MJmark,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,"The 1 for U Rocking Horse ""Star""",5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Voila Wooden Stacking Jigsaw,5.0 out of 5 stars,3
toys,Baby & Toddler Toys,40,Rocking Horse Lucky - By The 1 for U,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,"The Dreidel Game! Multi Colored Traditional Hanukkah Plastic Dreidels, Medium, 50 Pack (Instructions Included)",5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Learning Resources Smart Snacks Stack 'em Up Doughnuts,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Beyblade Zero G Series BBG-24 Ultimate Synchrom DX Attack/Balance Set,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,Beleduc / Leafy Lacing Tree,5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,YoYoFactory DV888 (Black),5.0 out of 5 stars,2
toys,Baby & Toddler Toys,40,"UFREE Riding Rocking Horse with Golden Armor, Action Toy, Iron Structure Cute Look, Go Without Battery, Height 35'', 3 to 5 Years Old",5.0 out of 5 stars,1
toys,Baby & Toddler Toys,40,"V5-Space®12Pcs Sport Stacking Cup Flyingcup Athletics Toys Sports Educational Gift Scrawl Design,Green",5.0 out of 5 stars,2
