State,Number to Generate,Type,Value
nm,1000,Street Address,4825 NE ZION RD NE RIO RANCHO 
nm,1000,Street Address,5570 MIDWAY PARK PL NE ALBUQUERQUE 
nm,1000,Street Address,112 ALL AMERICAN DR GALLUP 
nm,1000,Street Address,2500 SUNRIDGE DR LAS CRUCES 
nm,1000,Street Address,4621 LARIAT AVE NW ALBUQUERQUE 
nm,1000,Street Address,941 COMER DR CLOVIS 
nm,1000,Street Address,2715 SILVER STAR DR SW ALBUQUERQUE 
nm,1000,Street Address,3636 SANTA ADRIANA AVE LAS CRUCES 
nm,1000,Street Address,3522 ESCARPA DR NW ALBUQUERQUE 
nm,1000,Street Address,2168 CANDELERO ST SANTA FE 
nm,1000,Street Address,1103 STATE ROAD 162 TIERRA AMARILLA 
nm,1000,Street Address,2220 NE BARODA LOOP NE RIO RANCHO 
nm,1000,Street Address,162 FRONTAGE ROAD 2116 ROWE 
nm,1000,Street Address,5112 MIRADA DR NW ALBUQUERQUE 
nm,1000,Street Address,221.0 A CERRO RD QUESTA 
nm,1000,Street Address,4079 NM HIGHWAY 107 MAGDALENA 
nm,1000,Street Address,9621 MENDOZA AVE NE ALBUQUERQUE 
nm,1000,Street Address,2869 OX CART CT LAS CRUCES 
nm,1000,Street Address,7144 DODGE TRL NW ALBUQUERQUE 
nm,1000,Street Address,1909 SEA BREEZE ST NW ALBUQUERQUE 
nm,1000,Street Address,1419 SE 20TH AVE SE RIO RANCHO 
nm,1000,Street Address,4129 CHERRYDALE CT NW ALBUQUERQUE 
nm,1000,Street Address,7912 COCKATOO LN NE ALBUQUERQUE 
nm,1000,Street Address,2185 CAMINO DOCE SW DEMING 
nm,1000,Street Address,525 CONCHAS RD SW DEMING 
nm,1000,Street Address,9304 JENNY AVE SW ALBUQUERQUE 
nm,1000,Street Address,837 LOUISIANA BLVD SE ALBUQUERQUE 
nm,1000,Street Address,13 SI LANE LN GALLUP 
nm,1000,Street Address,3910 OLD CAVERN HWY CARLSBAD 
nm,1000,Street Address,91 STATE ROAD 341 VALLECITOS 
nm,1000,Street Address,75 CHAVEZ ST CUBERO 
nm,1000,Street Address,8104 OAKDALE PL NW ALBUQUERQUE 
nm,1000,Street Address,307 E HOPI ST FARMINGTON 
nm,1000,Street Address,401.0 19 N 26TH ST ARTESIA 
nm,1000,Street Address,2600 SUNSET PL LAS CRUCES 
nm,1000,Street Address,554 SANDLER DR NE ALBUQUERQUE 
nm,1000,Street Address,1027 HOPI RD CARLSBAD 
nm,1000,Street Address,4240 COURTNEY AVE NE ALBUQUERQUE 
nm,1000,Street Address,1813 S 2ND ST TUCUMCARI 
nm,1000,Street Address,9999 NE MOQUINO CT NE RIO RANCHO 
nm,1000,Street Address,1408 W LEA ST CARLSBAD 
nm,1000,Street Address,520 GEORGIA ST SE ALBUQUERQUE 
nm,1000,Street Address,3144 VIALE TRESANA SANTA FE 
nm,1000,Street Address,1961 POPLAR AVE LAS CRUCES 
nm,1000,Street Address,2505 CALLE DELFINO SANTA FE 
nm,1000,Street Address,420 MAXWELL AVE MAXWELL 
nm,1000,Street Address,208 SE 12TH AVE SE RIO RANCHO 
nm,1000,Street Address,3309 KIRKVIEW DR SW ALBUQUERQUE 
nm,1000,Street Address,625 CUTLER AVE NW ALBUQUERQUE 
nm,1000,Street Address,40 VALERIO RD RANCHOS DE TAOS 
nm,1000,Street Address,1000 STAGECOACH RD SE ALBUQUERQUE 
nm,1000,Street Address,1419 STATE ROAD 311 CLOVIS 
nm,1000,Street Address,4307 CAMINO ALHAMBRA SANTA FE 
nm,1000,Street Address,1801 N CANAL ST CARLSBAD 
nm,1000,Street Address,1335.0 D GUSDORF RD TAOS 
nm,1000,Street Address,8516 POWDER CT NW ALBUQUERQUE 
nm,1000,Street Address,6528 VALENTINE WAY SANTA FE 
nm,1000,Street Address,1158 SEMINOLE LOS ALAMOS 
nm,1000,Street Address,120 SE EATON RD SE RIO RANCHO 
nm,1000,Street Address,5675 DESERT STAR RD FAIRACRES 
nm,1000,Street Address,5204 STALLION DR NW ALBUQUERQUE 
nm,1000,Street Address,12109 MOUNTAIN RD NE ALBUQUERQUE 
nm,1000,Street Address,13116 SUNRISE TRAIL PL NE ALBUQUERQUE 
nm,1000,Street Address,5828 NE COLFAX PL NE RIO RANCHO 
nm,1000,Street Address,3521 MONTE VISTA BLVD NE ALBUQUERQUE 
nm,1000,Street Address,35 PINON ST CUBERO 
nm,1000,Street Address,213 ANITA ST SUNLAND PARK 
nm,1000,Street Address,2110 EUBANK BLVD NE ALBUQUERQUE 
nm,1000,Street Address,7205 EMBARCADERA DR SW ALBUQUERQUE 
nm,1000,Street Address,821 PAWNEE ST NE ALBUQUERQUE 
nm,1000,Street Address,324 11TH AVE SW RIO RANCHO 
nm,1000,Street Address,1122 BURKE DR GALLUP 
nm,1000,Street Address,524 GEORGIA ST SE ALBUQUERQUE 
nm,1000,Street Address,128 PINEHURST RD ALTO 
nm,1000,Street Address,24 GOLDMINE RD CERRILLOS 
nm,1000,Street Address,5336 CHUCKWAGON TRL NW ALBUQUERQUE 
nm,1000,Street Address,8105 HANNETT AVE NE ALBUQUERQUE 
nm,1000,Street Address,51 TSE LECHEE LOOP LP GALLUP 
